User_ID,User_Name,Join_Date,Last_Login,Monthly_Price,Watch_Hours,Favorite_Genre,Active_Devices,Profile_Count,Parental_Controls,Total_Movies_Watched,Total_Series_Watched,Country,Payment_Method,Language_Preference,Recommended_Content_Count,Average_Rating_Given,Has_Downloaded_Content,Membership_Status,Loyalty_Points,First_Device_Used,Age_Group,Primary_Watch_Time,Watch_Hour_Group,Loyalty_Point_Group,Age_Category
2518,Amber,5/15/2023,12/13/2024,7.99,49,Action,3,6,True,641,117,USA,PayPal,Hindi,84,3.3,False,Active,2878,Smartphone,35-44,Late Night,0-50 ,2000-2999 ,Mature Streamers
6430,Patrick,4/3/2023,12/15/2024,7.99,161,Drama,1,2,True,192,65,USA,PayPal,German,69,4.0,False,Active,2291,Desktop,25-34,Evening,101-200 ,2000-2999 ,Adult Streamers
1798,Robert,8/2/2023,12/14/2024,11.99,87,Action,2,5,False,260,127,Canada,Debit Card,Mandarin,56,3.1,False,Active,1692,Desktop,35-44,Late Night,51-100 ,1000-1999 ,Mature Streamers
5255,Cole,1/31/2023,12/2/2024,15.99,321,Sci-Fi,1,5,False,61,192,UK,Debit Card,Mandarin,47,4.6,False,Active,952,Desktop,25-34,Evening,301-500 ,0-999 ,Adult Streamers
2854,Jamie,6/6/2023,12/15/2024,11.99,386,Documentary,1,4,True,230,2,USA,PayPal,Mandarin,39,3.7,False,Active,1823,Desktop,25-34,Late Night,301-500 ,1000-1999 ,Adult Streamers
6735,Mary,9/17/2023,11/19/2024,15.99,408,Documentary,2,6,True,837,105,India,Credit Card,Spanish,71,4.3,True,Active,33,Smart TV,18-24,Morning,301-500 ,0-999 ,Young Streamers
2995,Theodore,8/25/2024,12/10/2024,7.99,475,Horror,5,4,True,510,143,USA,Credit Card,English,1,4.5,False,Active,755,Laptop,35-44,Late Night,301-500 ,0-999 ,Mature Streamers
5120,Olivia,5/31/2024,12/14/2024,15.99,258,Action,4,1,True,907,47,Australia,Debit Card,Hindi,32,3.7,True,Active,2866,Smartphone,45-54,Late Night,201-300 ,2000-2999 ,Older Streamers
6063,Patricia,6/17/2023,12/17/2024,15.99,183,Comedy,5,2,True,676,61,Germany,Cryptocurrency,Mandarin,26,3.3,True,Active,336,Tablet,25-34,Late Night,101-200 ,0-999 ,Adult Streamers
6896,Linda,12/2/2023,12/14/2024,7.99,164,Documentary,5,4,True,406,79,USA,Credit Card,French,90,3.2,False,Active,3898,Laptop,55+,Late Night,101-200 ,3000-3999 ,Senior Streamers
8447,Nichole,3/28/2023,11/22/2024,11.99,411,Comedy,5,4,True,352,78,UK,Credit Card,English,47,3.7,False,Active,650,Tablet,55+,Late Night,301-500 ,0-999 ,Senior Streamers
1433,Frances,3/2/2024,11/20/2024,15.99,160,Drama,5,6,True,391,132,Canada,Debit Card,German,57,3.0,False,Active,185,Laptop,35-44,Late Night,101-200 ,0-999 ,Mature Streamers
4511,Maurice,3/27/2023,11/25/2024,7.99,348,Drama,2,5,False,501,71,Germany,Debit Card,French,38,4.3,False,Active,1547,Smartphone,45-54,Late Night,301-500 ,1000-1999 ,Older Streamers
9966,Jennifer,9/15/2024,11/30/2024,7.99,451,Documentary,3,1,False,995,164,UK,Cryptocurrency,English,62,3.0,True,Active,3788,Smartphone,18-24,Late Night,301-500 ,3000-3999 ,Young Streamers
7093,Cheryl,6/7/2023,12/11/2024,7.99,69,Documentary,2,5,False,222,13,France,PayPal,German,0,4.7,True,Active,1051,Desktop,18-24,Afternoon,51-100 ,1000-1999 ,Young Streamers
4351,Kathy,5/18/2024,11/30/2024,11.99,166,Horror,1,6,True,788,31,USA,PayPal,German,25,4.3,True,Active,633,Smart TV,35-44,Afternoon,101-200 ,0-999 ,Mature Streamers
6007,Cassie,2/14/2023,12/17/2024,7.99,449,Horror,2,4,True,369,25,Germany,Debit Card,Spanish,65,4.6,False,Active,4133,Smartphone,25-34,Evening,301-500 ,4000-4990 ,Adult Streamers
9710,Charles,6/2/2023,11/27/2024,7.99,441,Romance,1,5,False,228,39,Germany,PayPal,Mandarin,50,3.1,True,Active,1159,Desktop,35-44,Morning,301-500 ,1000-1999 ,Mature Streamers
9034,William,9/20/2023,12/18/2024,15.99,224,Comedy,1,5,True,827,138,Canada,Debit Card,Mandarin,11,4.5,True,Active,4673,Tablet,18-24,Afternoon,201-300 ,4000-4990 ,Young Streamers
6197,Tiffany,7/3/2023,11/28/2024,15.99,44,Action,2,4,False,983,145,India,PayPal,French,78,3.0,False,Active,4200,Laptop,45-54,Evening,0-50 ,4000-4990 ,Older Streamers
2820,Mark,7/15/2023,12/1/2024,7.99,202,Drama,1,5,True,109,41,USA,Cryptocurrency,Spanish,42,4.6,False,Active,3607,Desktop,35-44,Late Night,201-300 ,3000-3999 ,Mature Streamers
1101,Mary,6/13/2024,11/23/2024,15.99,39,Horror,2,3,True,181,128,Australia,PayPal,Mandarin,3,4.5,True,Active,4602,Smart TV,55+,Evening,0-50 ,4000-4990 ,Senior Streamers
1650,Charles,8/25/2024,11/23/2024,15.99,319,Romance,2,2,False,842,145,France,Cryptocurrency,Mandarin,27,3.6,True,Active,256,Smart TV,35-44,Afternoon,301-500 ,0-999 ,Mature Streamers
4884,Anne,11/19/2023,11/25/2024,15.99,150,Sci-Fi,3,3,True,40,196,Canada,Debit Card,German,60,3.7,False,Active,2406,Laptop,55+,Evening,101-200 ,2000-2999 ,Senior Streamers
8321,Carol,9/22/2023,11/23/2024,11.99,496,Romance,3,1,True,431,41,India,Credit Card,English,91,4.0,True,Active,1394,Smart TV,55+,Afternoon,301-500 ,1000-1999 ,Senior Streamers
2381,Cynthia,5/15/2024,12/15/2024,7.99,347,Horror,2,5,False,415,194,USA,Credit Card,German,76,4.3,True,Active,1856,Desktop,18-24,Afternoon,301-500 ,1000-1999 ,Young Streamers
9507,Destiny,6/19/2023,11/19/2024,11.99,201,Action,1,6,True,902,86,USA,Cryptocurrency,French,69,4.9,True,Active,1665,Smart TV,18-24,Afternoon,201-300 ,1000-1999 ,Young Streamers
2851,Brittany,5/22/2024,11/23/2024,15.99,415,Romance,3,5,True,769,144,Australia,Cryptocurrency,Spanish,98,3.9,False,Active,2759,Tablet,35-44,Evening,301-500 ,2000-2999 ,Mature Streamers
4083,Amy,1/30/2024,12/10/2024,11.99,32,Horror,1,4,True,588,137,France,Credit Card,English,85,3.7,True,Active,3433,Laptop,35-44,Afternoon,0-50 ,3000-3999 ,Mature Streamers
4608,Kimberly,3/28/2024,11/28/2024,11.99,338,Comedy,3,2,True,528,184,UK,Cryptocurrency,Spanish,58,3.7,True,Active,3966,Desktop,55+,Late Night,301-500 ,3000-3999 ,Senior Streamers
4815,Ariel,7/2/2024,11/20/2024,7.99,52,Documentary,5,5,False,467,23,USA,PayPal,Spanish,97,3.3,True,Active,4185,Desktop,55+,Evening,51-100 ,4000-4990 ,Senior Streamers
9597,Lauren,12/6/2024,12/2/2024,11.99,447,Romance,5,5,False,73,138,Germany,Debit Card,Hindi,84,4.1,False,Active,784,Smartphone,25-34,Afternoon,301-500 ,0-999 ,Adult Streamers
6566,Joshua,6/22/2023,12/17/2024,11.99,312,Horror,5,1,True,895,154,Germany,Debit Card,Spanish,85,4.7,True,Active,3428,Laptop,25-34,Evening,301-500 ,3000-3999 ,Adult Streamers
1419,Megan,7/3/2023,12/16/2024,11.99,406,Sci-Fi,2,6,False,983,113,India,Cryptocurrency,German,78,3.1,False,Active,4245,Smartphone,25-34,Evening,301-500 ,4000-4990 ,Adult Streamers
9470,Stephanie,11/28/2023,12/15/2024,7.99,350,Horror,3,6,True,801,156,France,Credit Card,Mandarin,66,4.6,True,Active,2580,Smart TV,18-24,Late Night,301-500 ,2000-2999 ,Young Streamers
4989,Terrence,1/10/2024,12/10/2024,7.99,99,Comedy,2,5,True,96,114,USA,PayPal,Hindi,45,4.3,False,Active,2779,Smart TV,55+,Morning,51-100 ,2000-2999 ,Senior Streamers
9389,Julia,10/3/2024,11/21/2024,15.99,53,Sci-Fi,1,2,False,849,98,India,Credit Card,Mandarin,14,3.1,False,Active,2318,Smartphone,35-44,Evening,51-100 ,2000-2999 ,Mature Streamers
7728,Derrick,9/15/2023,12/13/2024,11.99,484,Romance,3,6,False,515,174,UK,PayPal,German,12,4.0,True,Active,827,Smartphone,25-34,Morning,301-500 ,0-999 ,Adult Streamers
